Account Number,Branch Name,Balance
A10300,Aksarben,10000
A10301,Aksarben,20000
A10302,Aksarben,12457
A10303,Aksarben,1547786
A10304,Aksarben,1547862
A10305,Aksarben,145246
A10306,Aksarben,10002
A10307,Aksarben,15426
A10308,Aksarben,12563
A10309,Aksarben,15478
A10310,A Street,15263
A10311,A Street,147856
A10312,A Street,1457862
A10313,A Street,1000
A10314,A Street,145875
A10315,A Street,2000
A10316,A Street,20000
A10317,A Street,145200
A10318,A Street,154200
A10319,A Street,1478500
A10320,Broadway,145230
A10321,Broadway,741800
A10322,Broadway,145000
A10323,Broadway,145200
A10324,Broadway,20000
A10325,Broadway,10000
A10326,Broadway,12000
A10327,Broadway,15000
A10328,Broadway,36000
A10329,Broadway,35000
A10330,Broadway,358000
A10331,Broadway,15600
A10332,Broadway,15200
A10333,Broadway,145200
A10334,San Street,14520
A10335,San Street,4000
A10336,San Street,40000
A10337,San Street,5000
A10338,San Street,52000
A10339,102 Street,2500
A10340,102 Street,2600
A10341,102 Street,24000
A10342,Gandhi Street,15200
A10343,Gandhi Street,14500
A10344,Gandhi Street,15200
A10345,Gandhi Street,1000
A10346,Gandhi Street,12000
A10347,Gandhi Street,1200
A10348, Richmond Street,3200
A10349,Richmond Street,3200
A10350,Richmond Street,32100
A10351,Richmond Street,14200
A10352,Richmond Street,21000
A10353,Richmond Street,14200
A10354,Richmond Street,20000
